ID,$c_{1}$,$y_{1}$,$t$,ExpValue,Successor,$j^*$,$m$,$r_{j}-OC_{j}$
14,1,0,4,325.0,[28 13 23],1,IH,200.0
28,0,0,3,0.0,[12],0,KA,0.0
23,0,1,3,0.0,[12 7],0,KA,0.0
13,1,0,3,275.0,[12 7],1,IH,400.0
12,1,0,2,75.0,[26 11 21],1,AA,50.0
26,0,0,1,0.0,[25],0,KA,0.0
7,1,1,2,375.0,[16 11 21 6],1,IH,550.0
16,0,2,1,550.0,[25 20 15],2,LE,5000.0
11,1,0,1,50.0,[25 10 20],1,AA,100.0
21,0,1,1,50.0,[25 20],1,LE,100.0
25,0,0,0,0.0,['end'],0,-,0.0
6,1,1,1,100.0,[10 20 5 15],1,AA,100.0
10,1,0,0,0.0,['end'],0,-,0.0
20,0,1,0,0.0,['end'],0,-,0.0
15,0,2,0,0.0,['end'],0,-,0.0
5,1,1,0,0.0,['end'],0,-,0.0
