ID,$c_{1}$,$s_{1}$,$s_{2}$,$t$,ExpValue,Successor,$j^*$,$m$,$r_{j}-OC_{j}$
4,2,1,0,4,303.1875,[8 3 13],2,AA,124.375
8,2,0,0,3,184.8125,[17 7],2,AA,158.0
13,1,1,0,3,196.703125,[17 12 22],2,AA,102.0
17,1,0,0,2,98.0,[16 26],2,AA,130.0
22,0,1,0,2,75.0,[26 21],1,LE,100.0
26,0,0,0,1,0.0,[25],0,KA,0.0
3,2,1,0,3,272.3125,[2 12 7],2,AA,158.0
12,1,1,0,2,173.0,[16 11 21],2,AA,130.0
21,0,1,0,1,50.0,[25 20],1,LE,100.0
7,2,0,0,2,140.0,[16 6],2,AA,200.0
16,1,0,0,1,70.0,[25 15],2,AA,200.0
25,0,0,0,0,0.0,['end'],0,-,0.0
2,2,1,0,2,215.0,[1 11 6],2,AA,200.0
11,1,1,0,1,120.0,[10 20 15],2,AA,200.0
20,0,1,0,0,0.0,['end'],0,-,0.0
6,2,0,0,1,70.0,[5 15],2,AA,200.0
15,1,0,0,0,0.0,['end'],0,-,0.0
1,2,1,0,1,120.0,[0 10 5],2,AA,200.0
10,1,1,0,0,0.0,['end'],0,-,0.0
5,2,0,0,0,0.0,['end'],0,-,0.0
0,2,1,0,0,0.0,['end'],0,-,0.0
