ID,$c_{1}$,$y_{1}$,$y_{2}$,$t$,ExpValue,Successor,$j^*$,$m$,$r_{j}-OC_{j}$
23,2,0,0,3,168.703125,[66 38 70 46 22],2,AA,62.0
70,0,0,0,2,0.0,[69],0,KA,0.0
22,2,0,0,2,138.0,[65 37 21 69 45],2,AA,130.0
21,2,0,0,1,70.0,[68 44 20 64 36],2,AA,200.0
20,2,0,0,0,0.0,['end'],0,-,0.0
46,1,0,0,2,75.0,[61 45 69],1,AA,50.0
38,1,1,0,2,150.0,[45 53 37 61],1,AA,50.0
45,1,0,0,1,50.0,[68 44 60],1,AA,100.0
53,0,2,0,1,50.0,[60 52],1,LE,100.0
61,0,1,0,1,50.0,[68 60],1,LE,100.0
37,1,1,0,1,100.0,[60 36 52 44],1,AA,100.0
60,0,1,0,0,0.0,['end'],0,-,0.0
36,1,1,0,0,0.0,['end'],0,-,0.0
52,0,2,0,0,0.0,['end'],0,-,0.0
44,1,0,0,0,0.0,['end'],0,-,0.0
66,0,0,1,2,38.0,[65 69],2,LE,180.0
69,0,0,0,1,0.0,[68],0,KA,0.0
65,0,0,1,1,20.0,[64 68],2,LE,200.0
68,0,0,0,0,0.0,['end'],0,-,0.0
64,0,0,1,0,0.0,['end'],0,-,0.0
