ID,$c_{1}$,$y_{1}$,$t$,ExpValue,Successor,$j^*$,$m$,$r_{j}-OC_{j}$
11,2,5,3,387.5,[10 38 42 14],1,IH,300.0
38,1,6,2,400.0,[41 37 65 69],1,IH,550.0
65,0,7,1,550.0,[64 92 68],2,LE,5000.0
92,0,0,0,0.0,['end'],0,-,0.0
42,1,5,2,175.0,[41 45 69 73],1,LE,100.0
69,0,6,1,50.0,[72 68],1,LE,100.0
73,0,5,1,50.0,[72 76],1,LE,100.0
14,2,4,2,200.0,[17 41 13 45],1,AA,100.0
17,2,3,1,100.0,[16 48 20 44],1,AA,100.0
20,2,2,0,0.0,['end'],0,-,0.0
45,1,4,1,100.0,[48 76 44 72],1,AA,100.0
48,1,3,0,0.0,['end'],0,-,0.0
76,0,4,0,0.0,['end'],0,-,0.0
10,2,5,2,200.0,[9 37 13 41],1,AA,100.0
37,1,6,1,100.0,[40 68 36 64],1,AA,100.0
64,0,7,0,0.0,['end'],0,-,0.0
13,2,4,1,100.0,[16 44 12 40],1,AA,100.0
16,2,3,0,0.0,['end'],0,-,0.0
41,1,5,1,100.0,[40 72 44 68],1,AA,100.0
72,0,5,0,0.0,['end'],0,-,0.0
44,1,4,0,0.0,['end'],0,-,0.0
68,0,6,0,0.0,['end'],0,-,0.0
9,2,5,1,100.0,[8 40 12 36],1,AA,100.0
40,1,5,0,0.0,['end'],0,-,0.0
12,2,4,0,0.0,['end'],0,-,0.0
36,1,6,0,0.0,['end'],0,-,0.0
8,2,5,0,0.0,['end'],0,-,0.0
