ID,$c_{1}$,$c_{2}$,$c_{3}$,$y_{1}$,$y_{2}$,$y_{3}$,$t$,ExpValue,Successor,$j^*$,$m$,$r_{j}-OC_{j}$
11,1,1,0,0,0,0,3,3914.0,[10 34 30],1,IH[0 0 1],4150.0
30,0,1,0,0,0,1,2,4230.0,[41 29 37],2,IH[0 0 1],4700.0
29,0,1,0,0,0,1,1,0.0,[28],0,KA,0.0
28,0,1,0,0,0,1,0,0.0,['end'],0,-,0.0
10,1,1,0,0,0,0,2,180.0,[9 21 17],2,AA,200.0
21,1,0,0,0,0,0,1,0.0,[20],0,KA,0.0
20,1,0,0,0,0,0,0,0.0,['end'],0,-,0.0
17,1,0,0,0,0,1,1,0.0,[16],0,KA,0.0
16,1,0,0,0,0,1,0,0.0,['end'],0,-,0.0
9,1,1,0,0,0,0,1,0.0,[8],0,KA,0.0
8,1,1,0,0,0,0,0,0.0,['end'],0,-,0.0
37,0,0,0,0,0,2,1,4500.0,[44 36],3,LE,5000.0
36,0,0,0,0,0,2,0,0.0,['end'],0,-,0.0
34,0,1,0,0,0,0,2,180.0,[33 45 41],2,AA,200.0
45,0,0,0,0,0,0,1,0.0,[44],0,KA,0.0
44,0,0,0,0,0,0,0,0.0,['end'],0,-,0.0
41,0,0,0,0,0,1,1,0.0,[40],0,KA,0.0
40,0,0,0,0,0,1,0,0.0,['end'],0,-,0.0
33,0,1,0,0,0,0,1,0.0,[32],0,KA,0.0
32,0,1,0,0,0,0,0,0.0,['end'],0,-,0.0
