ID,$c^{1}$,$c^{2}$,$c^{3}$,$y^{1}$,$y^{2}$,$y^{3}$,$t$,ExpValue,Successor,$j^*$,$m$,$r_{j}-OC_{j}$
11,1,1,1,0,0,0,3,544.75,[10 58 54],1,IH[0 0 1],1036.0
58,0,1,1,0,0,0,2,234.0,[57 77 81],2,AA,200.0
57,0,1,1,0,0,0,1,90.0,[56 64 68],2,AA,200.0
68,0,1,0,0,0,0,0,0.0,['end'],0,-,0.0
81,0,0,1,0,0,0,1,90.0,[80 88 92],2,AA,200.0
92,0,0,0,0,0,0,0,0.0,['end'],0,-,0.0
54,0,1,1,0,0,1,2,1170.0,[73 53 77],1,IH[0 0 1],1600.0
73,0,0,1,0,0,2,1,1680.0,[72 76 84, 80],3,LE,5000.0
72,0,0,1,0,0,2,0,0.0,['end'],0,-,0.0
53,0,1,1,0,0,1,1,180.0,[64 56 52 60],2,AA,200.0
64,0,1,0,0,0,1,0,0.0,['end'],0,-,0.0
56,0,1,1,0,0,0,0,0.0,['end'],0,-,0.0
52,0,1,1,0,0,1,0,0.0,['end'],0,-,0.0
60,0,1,0,0,0,2,0,0.0,['end'],0,-,0.0
77,0,0,1,0,0,1,1,180.0,[88 80 76 84],2,AA,200.0
88,0,0,0,0,0,1,0,0.0,['end'],0,-,0.0
80,0,0,1,0,0,0,0,0.0,['end'],0,-,0.0
76,0,0,1,0,0,1,0,0.0,['end'],0,-,0.0
84,0,0,0,0,0,2,0,0.0,['end'],0,-,0.0
10,1,1,1,0,0,0,2,234.0,[9 29 33],2,AA,200.0
29,1,0,1,0,0,1,1,180.0,[40 32 28 36],2,AA,200.0
28,1,0,1,0,0,1,0,0.0,['end'],0,-,0.0
36,1,0,0,0,0,2,0,0.0,['end'],0,-,0.0
33,1,0,1,0,0,0,1,90.0,[32 40 44],2,AA,200.0
32,1,0,1,0,0,0,0,0.0,['end'],0,-,0.0
40,1,0,0,0,0,1,0,0.0,['end'],0,-,0.0
44,1,0,0,0,0,0,0,0.0,['end'],0,-,0.0
9,1,1,1,0,0,0,1,90.0,[8 16 20],2,AA,200.0
16,1,1,0,0,0,1,0,0.0,['end'],0,-,0.0
20,1,1,0,0,0,0,0,0.0,['end'],0,-,0.0
8,1,1,1,0,0,0,0,0.0,['end'],0,-,0.0
