,$c^{1}$,$c^{2}$,$c^{3}$,$y^{1}$,$y^{2}$,$y^{3}$,$t$,ExpValue,$j^{1}_{AA}$,$j^{2}_{AA}$,$j^{3}_{AA}$,$j^{1}_{LE}$,$j^{2}_{LE}$,$j^{3}_{LE}$,$j^{1}_{IH}$,$j^{2}_{IH}$,$j^{3}_{IH}$
8,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,0,0,1,90.0,1,1,0,0,0,0,[0 0 0],[0 0 0],[0 0 0 0 0 0]
10,1,1,1,0,0,0,2,234.0,1,1,0,0,0,0,[0 0 1],[0 0 1],0
11,1,1,1,0,0,0,3,544.75,1,0,0,0,0,0,[0 0 1],0,0
16,1,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0
20,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
28,1,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0
29,1,0,1,0,0,1,1,180.0,1,1,0,1,1,0,[0 0 0],[0 0 0],[0 0 0 0 0 0]
32,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
33,1,0,1,0,0,0,1,90.0,1,1,0,0,0,0,[0 0 0],[0 0 0],[0 0 0 0 0 0]
36,1,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0
40,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0
44,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
52,0,1,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0
53,0,1,1,0,0,1,1,180.0,1,1,0,1,1,0,[0 0 0],[0 0 0],[0 0 0 0 0 0]
54,0,1,1,0,0,1,2,1170.0,1,1,0,0,0,0,[0 0 1],[0 0 1],0
56,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
57,0,1,1,0,0,0,1,90.0,1,1,0,0,0,0,[0 0 0],[0 0 0],[0 0 0 0 0 0]
58,0,1,1,0,0,0,2,234.0,1,1,0,0,0,0,[0 0 1],[0 0 1],0
60,0,1,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0
64,0,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0
68,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
72,0,0,1,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0
73,0,0,1,0,0,2,1,1680.0,1,1,0,1,1,1,[0 0 0],[0 0 0],[0 0 0 0 0 0]
76,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0
77,0,0,1,0,0,1,1,180.0,1,1,0,1,1,0,[0 0 0],[0 0 0],[0 0 0 0 0 0]
80,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
81,0,0,1,0,0,0,1,90.0,1,1,0,0,0,0,[0 0 0],[0 0 0],[0 0 0 0 0 0]
84,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0
