ID,$c^{1}$,$c^{2}$,$y^{1}$,$y^{2}$,$t$,ExpValue,Successor,$j^*$,$m$,$r_{j}-OC_{j}$
65,1,1,0,0,10,0.0,[64 185 163 196],0,KA,0.0
185,0,1,0,1,9,0.0,[184],0,KA,0.0
196,0,1,0,0,9,0.0,[195],0,KA,0.0
64,1,1,0,0,9,0.0,[184 162 195 63],0,KA,0.0
63,1,1,0,0,8,0.0,[161 194 62 183],0,KA,0.0
62,1,1,0,0,7,1285.69921875,[160 193 61 182],1,LP[0 1],1692.0
61,1,1,0,0,6,808.19921875,[192 60 181 159],1,LP[0 1],2416.0
60,1,1,0,0,5,83.19921875,[114 59 125],1,AA,24.0
114,1,0,0,1,4,76.0,[113 124],1,LE,34.3125
59,1,1,0,0,4,76.0,[113 58 124],1,AA,34.3125
113,1,0,0,1,3,65.703125,[112 123],1,LE,49.0
58,1,1,0,0,3,65.703125,[112 57 123],1,AA,49.0
112,1,0,0,1,2,51.0,[122 111],1,LE,70.0
57,1,1,0,0,2,51.0,[56 122 111],1,AA,70.0
56,1,1,0,0,1,30.0,[121 110 55],1,AA,100.0
55,1,1,0,0,0,0.0,['end'],0,-,0.0
184,0,1,0,1,8,0.0,[183],0,KA,0.0
183,0,1,0,1,7,0.0,[182],0,KA,0.0
182,0,1,0,1,6,0.0,[181],0,KA,0.0
181,0,1,0,1,5,2400.0,[235 180 246 191],1,LP[0 1],2114.0
180,0,1,0,1,4,1796.0,[234 179 245 190],1,LP[0 1],2248.0
179,0,1,0,1,3,1151.5,[233 178 244 189],1,LP[0 1],2128.0
178,0,1,0,1,2,543.0,[232 177 243 188],1,LP[0 1],1570.0
177,0,1,0,1,1,60.0,[176 242 187 231],1,AA,100.0
176,0,1,0,1,0,0.0,['end'],0,-,0.0
125,1,0,0,0,4,0.0,[124],0,KA,0.0
124,1,0,0,0,3,0.0,[123],0,KA,0.0
123,1,0,0,0,2,0.0,[122],0,KA,0.0
122,1,0,0,0,1,0.0,[121],0,KA,0.0
163,0,1,1,0,9,51.0,[162 195],1,LE,70.0
195,0,1,0,0,8,0.0,[194],0,KA,0.0
162,0,1,1,0,8,30.0,[161, 194],1,LE,100.0
194,0,1,0,0,7,0.0,[193],0,KA,0.0
161,0,1,1,0,7,0.0,[160 193],0,KA,0.0
160,0,1,1,0,6,113.19921875,[192 159],1,LE,100.0
159,0,1,1,0,5,83.19921875,[224 213 158],1,AA,24.0
224,0,0,1,0,4,0.0,[223],0,KA,0.0
213,0,0,1,1,4,76.0,[212 223],1,LE,34.3125
158,0,1,1,0,4,76.0,[212 157 223],1,AA,34.3125
212,0,0,1,1,3,65.703125,[211 222],1,LE,49.0
223,0,0,1,0,3,0.0,[222],0,KA,0.0
157,0,1,1,0,3,65.703125,[211 156 222],1,AA,49.0
211,0,0,1,1,2,51.0,[210 221],1,LE,70.0
222,0,0,1,0,2,0.0,[221],0,KA,0.0
156,0,1,1,0,2,51.0,[210 155 221],1,AA,70.0
210,0,0,1,1,1,30.0,[209 220],1,LE,100.0
221,0,0,1,0,1,0.0,[220],0,KA,0.0
155,0,1,1,0,1,30.0,[209 154 220],1,AA,100.0
209,0,0,1,1,0,0.0,['end'],0,-,0.0
220,0,0,1,0,0,0.0,['end'],0,-,0.0
154,0,1,1,0,0,0.0,['end'],0,-,0.0
111,1,0,0,1,1,30.0,[121 110],1,LE,100.0
121,1,0,0,0,0,0.0,['end'],0,-,0.0
110,1,0,0,1,0,0.0,['end'],0,-,0.0
193,0,1,0,0,6,0.0,[192],0,KA,0.0
192,0,1,0,0,5,83.19921875,[257 246 191],1,AA,24.0
246,0,0,0,1,4,76.0,[256 245],1,LE,34.3125
191,0,1,0,0,4,76.0,[256 245 190],1,AA,34.3125
190,0,1,0,0,3,65.703125,[244, 189, 255],1,AA,49.0
189,0,1,0,0,2,51.0,[243 188 254],1,AA,70.0
188,0,1,0,0,1,30.0,[242 187 253],1,AA,100.0
187,0,1,0,0,0,0.0,['end'],0,-,0.0
235,0,0,0,2,4,3809.5,[256 234 245],2,LE,1700.0
234,0,0,0,2,3,3299.5,[233 244 255],2,LE,2428.0
233,0,0,0,2,2,2571.0,[232 243 254],2,LE,3470.0
232,0,0,0,2,1,1530.0,[242 253 231],2,LE,5000.0
231,0,0,0,2,0,0.0,['end'],0,-,0.0
245,0,0,0,1,3,65.703125,[244 255],1,LE,49.0
244,0,0,0,1,2,51.0,[243 254],1,LE,70.0
243,0,0,0,1,1,30.0,[242 253],1,LE,100.0
242,0,0,0,1,0,0.0,['end'],0,-,0.0
257,0,0,0,0,4,0.0,[256],0,KA,0.0
256,0,0,0,0,3,0.0,[255],0,KA,0.0
255,0,0,0,0,2,0.0,[254],0,KA,0.0
254,0,0,0,0,1,0.0,[253],0,KA,0.0
253,0,0,0,0,0,0.0,['end'],0,-,0.0
